angDist,_RAJ2000,_DEJ2000,recno,ASAS,Per,Vmax,Vamp,Class,GCVS,LC,_RA,_DE,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff,B_Teff,logg,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000
0.878179,0.125145,-39.62503,1,000030-3937.5,2.5545,10.79,1.22,ED,SW Phe,LC,0.1251,-39.625,Gaia DR3 2306294844069169152,0.12508346560,-39.62479071009,0.000,0.000,11,1636148068921376768,2306294844069169152,207274798,0.0124,0.0152,1.6175,0.0194,83.5899,6.533,0.233,0.019,-6.529,0.018,0.0872,0.1345,-0.2987,0.0687,-0.1404,0.1901,0.1795,-0.1316,-0.2798,0.1790,356,356,352,4,2.8967,1.3244e+03,0.130,2.3166e+01,31,1,1.660,,,,,,,,40,21,0.028627,44,5.715e-02,4.130e+00,0,0,1.111,0,300,823650.40896,9.45738e+02,8.70908e+02,10.898009,0.003024,35,5.32315e+05,1.54757e+03,3.43969e+02,11.023120,0.004213,36,4.30351e+05,2.48626e+03,1.73092e+02,10.663338,0.007323,1.169,0,0,0,0,0,0.359782,0.125111,0.234672,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.000000,0.000000,0.999816,7813.2,7799.7,7826.4,3.9295,3.9212,3.9376,-0.7899,-0.8146,-0.7634,616.5496,609.7679,623.4111,0.2519,0.2464,0.2574,0.2306,0.2255,0.2357,0.1235,0.1208,0.1263,A,0.12508212083,-39.62476169149,0.310665,0.282437,0.1656
0.438253,0.281955,-33.50104,3,000108-3330.1,0.46658,11.51,0.43,EC,,LC,0.282,-33.501,Gaia DR3 2313076528709822208,0.28193829423,-33.50091906274,0.000,0.000,33,1636148068921376768,2313076528709822208,823892308,0.0156,0.0163,2.1672,0.0210,103.4239,11.458,10.679,0.016,-4.152,0.018,0.1033,0.1315,-0.3875,0.1293,-0.1665,0.1815,0.0480,-0.1608,-0.0516,0.2423,372,372,359,13,5.5775,1.7513e+03,0.163,4.3698e+01,31,1,1.575,,,,,,,,43,19,0.026371,44,1.269e-02,2.120e+01,1,0,1.216,0,368,449268.25532,2.60882e+03,1.72212e+02,11.556103,0.006880,41,2.52879e+05,4.83253e+03,5.23285e+01,11.831261,0.020935,41,2.88414e+05,5.20262e+03,5.54362e+01,11.097856,0.019947,1.205,0,0,0,0,0,0.733405,0.275158,0.458247,15.53,9.25,1,23,1,13,4.8284e+01,3.7892e+01,0.000000,947.214,146.69,6000.0,4.5,-0.25,101,183.0119,67.4213,14,10.925821,0.043721,20,4.236072e+01,VARIABLE,0.000000,0.000000,0.998613,5941.0,5932.0,5950.7,4.0848,4.0786,4.0908,-0.1037,-0.1318,-0.0755,452.6663,448.4498,457.0271,0.0023,0.0006,0.0061,0.0020,0.0005,0.0052,0.0011,0.0003,0.0028,MARCS,0.28188137725,-33.50090061073,0.254528,0.285727,0.2187
0.451846,0.324945,-35.86066,5,000118-3551.7,25.67,9.84,0.35,MISC,,LC,0.3249,-35.8607,Gaia DR3 2309577745271371392,0.32493512117,-35.86078525726,0.000,0.000,2,1636148068921376768,2309577745271371392,1303485872,0.0258,0.0303,0.8184,0.0439,18.6283,14.321,8.688,0.028,-11.384,0.035,0.0086,0.1293,-0.3278,0.1152,-0.3987,0.3705,0.3318,-0.4425,-0.4812,0.3661,266,266,265,1,10.2703,2.0410e+03,0.246,6.2206e+01,31,1,1.268,,,,,,,,30,18,0.058162,30,2.659e-02,1.040e+02,1,0,1.481,0,265,6573486.76777,1.61797e+04,4.06279e+02,8.642878,0.003838,30,1.20548e+06,1.45065e+04,8.30995e+01,10.135638,0.013360,30,8.44714e+06,5.29549e+04,1.59516e+02,7.431121,0.007785,1.468,0,5,0,0,0,2.704517,1.492761,1.211757,-14.19,0.40,1,12,2,11,2.9683e+02,7.0679e+00,0.000000,948.467,3.00,3700.0,0.5,0.00,440,9.5217,1.0250,9,6.930199,0.016215,9,,VARIABLE,0.000000,0.000000,0.999245,3658.2,3657.8,3659.5,0.8109,0.8102,0.8129,0.6500,0.6499,0.6501,1765.8341,1761.3002,1769.6132,0.7948,0.7856,0.8038,0.5111,0.5053,0.5168,0.3188,0.3151,0.3224,MARCS,0.32488747542,-35.86073466171,0.461231,0.557654,0.3386
0.264726,0.32922,-35.09781,6,000119-3505.9,37.3,10.77,0.27,MISC,,LC,0.3292,-35.0978,Gaia DR3 2312640469270419072,0.32930148114,-35.09777896631,0.000,0.000,172,1636148068921376768,2312640469270419072,1088095826,0.0223,0.0233,0.6183,0.0320,19.3256,8.773,8.475,0.023,-2.267,0.027,-0.0116,0.2003,-0.2686,0.1467,-0.2748,0.2657,0.2279,-0.2378,-0.1878,0.2062,310,310,309,1,6.8751,2.2521e+03,0.236,6.9761e+01,31,1,1.260,,,,,,,,35,19,0.040613,38,3.083e-02,1.388e+02,0,0,1.290,0,305,3237414.90139,5.78072e+03,5.60036e+02,9.411871,0.003369,35,5.55912e+05,4.38376e+03,1.26812e+02,10.976027,0.009005,35,4.23784e+06,1.57562e+04,2.68963e+02,8.180034,0.005530,1.481,0,1,0,0,0,2.795994,1.564157,1.231837,50.35,0.25,1,16,4,12,2.2410e+02,4.7565e+00,0.000000,905.755,2.00,3700.0,1.5,0.00,440,9.4126,0.9723,10,7.660390,0.028318,10,,NOT_AVAILABLE,0.000000,0.000000,0.999442,,,,,,,,,,,,,,,,,,,,,,,0.32925544613,-35.09776888987,0.378912,0.428356,0.1818
0.155393,0.334695,-58.58035,7,000120-5834.8,53.6,9.53,0.33,MISC,,LC,0.3347,-58.5803,Gaia DR3 4919076900817667712,0.33468315830,-58.58030727890,0.000,0.000,143,1636148068921376768,4919076900817667712,1250580437,0.0128,0.0137,0.7637,0.0176,43.3811,8.311,4.136,0.016,-7.209,0.018,-0.2181,0.2289,-0.2049,0.0142,-0.1308,0.0547,0.0165,-0.1637,-0.1160,-0.2152,495,495,493,2,7.2361,1.7156e+03,0.147,2.8165e+01,31,1,1.318,,,,,,,,56,29,0.025810,59,4.005e-03,7.874e+01,0,0,1.240,0,503,7864779.27775,1.28984e+04,6.09747e+02,8.448151,0.003281,58,1.97177e+06,1.53660e+04,1.28320e+02,9.601399,0.008909,57,8.86813e+06,3.24103e+04,2.73620e+02,7.378316,0.005480,1.378,0,0,0,0,0,2.223083,1.153249,1.069835,53.77,0.26,1,25,4,20,4.2742e+02,1.3389e+01,0.000000,942.723,4.04,3800.0,1.5,0.00,440,10.6783,0.4734,17,6.914399,0.008625,19,,VARIABLE,0.000000,0.000000,0.999617,,,,,,,,,,,,,,,,,,,,,,,0.33464789594,-58.58027523799,0.254082,0.282911,-0.2165
0.598110,0.41118,-3.75662,8,000139-0345.4,150.0,12.82,1.04,MISC,DU Psc,LC,0.4112,-3.7566,Gaia DR3 2447920840899210112,0.41104776218,-3.75651904816,0.000,0.000,56,1636148068921376768,2447920840899210112,166566451,0.0481,0.0404,0.1267,0.0599,2.1166,4.110,1.897,0.074,-3.646,0.041,0.4354,-0.0881,-0.3193,-0.1567,-0.4107,-0.3426,0.3389,0.2492,-0.2448,0.3328,289,289,288,1,10.9785,7.0549e+03,0.372,1.9549e+02,31,0,1.189,,,,,,,,33,15,0.107453,43,1.570e-01,1.659e+02,0,0,1.494,0,371,251173.04237,4.73015e+03,5.31005e+01,12.187434,0.020632,37,3.21741e+04,3.15510e+03,1.01975e+01,14.069775,0.106507,38,4.49957e+05,2.84658e+04,1.58069e+01,10.614967,0.068791,1.920,0,12,0,0,0,3.454807,1.882340,1.572467,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.000000,0.000000,0.999974,,,,,,,,,,,,,,,,,,,,,,,0.41103931162,-3.75650284186,1.201173,0.646449,0.3633
0.443685,0.425715,-42.48756,9,000142-4229.3,32.44,10.71,0.29,MISC,,LC,0.4257,-42.4876,Gaia DR3 4995716194167829120,0.42577224124,-42.48744420805,0.000,0.000,180,1636148068921376768,4995716194167829120,105466893,0.0157,0.0184,0.3816,0.0234,16.3129,6.983,6.727,0.021,1.872,0.021,-0.0019,0.1961,-0.2317,0.0602,-0.2565,0.1753,0.1743,-0.2474,-0.1911,0.1135,379,379,378,1,4.4636,1.9099e+03,0.190,4.5903e+01,31,1,1.276,,,,,,,,43,21,0.031402,44,1.055e-02,1.759e+02,1,0,1.167,0,376,3199031.02811,9.00846e+03,3.55114e+02,9.424821,0.004116,42,5.92507e+05,9.13092e+03,6.48902e+01,10.906808,0.016963,42,4.01120e+06,2.95045e+04,1.35952e+02,8.239711,0.008835,1.439,0,18,0,10,0,2.667097,1.481987,1.185110,-75.72,0.29,1,15,4,12,2.2735e+02,1.2067e+00,0.000000,912.260,2.49,3600.0,1.5,0.25,111,12.2716,0.6466,9,7.678582,0.018834,9,,VARIABLE,0.000000,0.000000,0.999661,3631.3,3629.8,3633.0,0.4841,0.4785,0.4862,0.6610,0.6517,0.6667,5371.1143,5345.9888,5409.0103,0.5019,0.4927,0.5154,0.3215,0.3156,0.3303,0.2026,0.1990,0.2079,MARCS,0.42573169488,-42.48745252924,0.333558,0.332045,0.1006
0.833588,0.44889,-57.24215,10,000147-5714.5,0.47035,11.03,0.2,ESD/EC,,LC,0.4489,-57.2421,Gaia DR3 4919434860572215936,0.44931751453,-57.24213971551,0.000,0.000,148,1636148068921376768,4919434860572215936,1583357473,0.0105,0.0115,2.2469,0.0158,142.5159,21.566,11.865,0.014,-18.008,0.015,-0.1835,0.2061,-0.0095,0.1123,-0.2438,0.2008,0.1171,-0.1908,-0.2015,-0.1304,497,497,493,4,3.9872,1.6011e+03,0.124,2.4855e+01,31,1,1.645,,,,,,,,56,28,0.020914,62,3.254e-02,1.089e+02,0,0,1.130,0,506,935931.98031,2.49275e+03,3.75461e+02,10.759256,0.003994,57,5.86904e+05,4.76763e+03,1.23102e+02,10.917124,0.009251,56,5.13527e+05,4.09384e+03,1.25439e+02,10.471487,0.009445,1.176,0,0,0,0,0,0.445637,0.157867,0.287769,13.05,5.95,1,26,4,21,7.0851e+01,1.1114e+01,0.000000,899.034,95.33,7500.0,4.5,-0.25,555,145.4072,32.8108,17,10.355570,0.016414,19,7.569145e+01,NOT_AVAILABLE,0.000000,0.000000,0.999065,7004.4,6987.4,7024.8,4.0140,4.0073,4.0207,-0.6110,-0.6428,-0.5805,441.8158,438.8552,444.8789,0.0120,0.0036,0.0245,0.0108,0.0032,0.0219,0.0058,0.0017,0.0118,A,0.44922005469,-57.24205967904,0.217867,0.232022,-0.1466
0.941667,0.479685,-67.12897,11,000155-6707.7,228.0,12.74,2.41,MISC,EF Tuc,LC,0.4797,-67.129,Gaia DR3 4707482485122305536,0.47974960551,-67.12870963374,0.000,0.000,138,1636148068921376768,4707482485122305536,759037790,0.0163,0.0168,0.7120,0.0203,35.1404,13.428,13.348,0.020,-1.455,0.023,-0.2470,0.0315,-0.3102,0.1459,-0.1503,0.1330,0.1705,-0.0485,-0.4090,-0.2960,398,0,396,2,2.9324,4.9640e+02,0.075,2.0137e+00,31,0,1.585,,,,,,,,45,26,0.035135,54,1.129e-01,1.613e+02,0,0,1.106,0,431,21664.90071,3.87917e+02,5.58493e+01,14.847975,0.019635,53,1.18685e+04,7.01393e+02,1.69213e+01,15.152556,0.064225,53,1.49835e+04,6.12662e+02,2.44564e+01,14.308860,0.044555,1.239,0,2,0,1,0,0.843697,0.304582,0.539115,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,0.000000,0.000000,0.999993,5711.7,5689.7,5760.4,4.1849,4.1744,4.1915,-4.1247,-4.1440,-4.0853,1191.0039,1174.1115,1218.3420,0.4394,0.4204,0.4690,0.3665,0.3505,0.3914,0.2033,0.1944,0.2172,MARCS,0.47959696305,-67.12870316648,0.330666,0.366780,-0.3069
0.332751,0.507105,-66.88857,13,000202-6653.3,0.326576,12.16,0.6,EC,,LC,0.5071,-66.8886,Gaia DR3 4707677133040156160,0.50692374915,-66.88862900761,0.000,0.000,145,1636148068921376768,4707677133040156160,1206445672,0.0457,0.0483,2.9826,0.0595,50.1094,8.790,-0.965,0.060,-8.737,0.067,-0.1433,0.1792,-0.0164,-0.0168,-0.1486,0.0663,0.1956,-0.1578,-0.3554,-0.1036,399,399,399,0,86.0738,1.9955e+04,0.635,6.8740e+02,31,0,1.542,,,,,,,,45,26,0.095089,52,2.237e-02,6.398e+01,0,0,5.310,0,448,264003.37690,2.07059e+03,1.27501e+02,12.133343,0.008950,50,1.38660e+05,3.29641e+03,4.20638e+01,12.483665,0.025962,50,1.84348e+05,4.03621e+03,4.56735e+01,11.583798,0.024070,1.223,0,2,0,1,0,0.899867,0.350323,0.549544,-4.16,25.73,1,20,1,17,3.5025e+01,7.6294e+01,0.000000,830.583,448.91,5750.0,1.5,0.00,111,,,,11.313815,0.042368,19,,VARIABLE,0.000000,0.000000,0.999886,5740.7,5659.3,5818.0,4.3552,4.3375,4.3754,0.0824,-0.0003,0.1542,331.6929,325.2085,338.5787,0.1092,0.0579,0.1572,0.0913,0.0483,0.1315,0.0487,0.0257,0.0701,MARCS,0.50693467572,-66.88859017763,0.959882,1.056323,-0.1067
